"","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","ocean_proximity"
"57",-118.14,34.18,47,3457,622,1700,579,3.5164,226500,"<1H OCEAN"
"58",-121.01,37.74,14,2368,297,796,301,NA,435000,NA
"59",-119.63,36.58,22,1794,435,1127,359,1.2647,55300,"INLAND"
"60",-122.4,37.61,35,2084,549,1077,545,3.1628,318400,"NEAR OCEAN"
"61",-118.58,34.21,27,2209,353,1034,344,4.7125,250900,"<1H OCEAN"
"62",-117.26,32.99,16,2127,512,1532,499,2.7348,231300,NA
"63",-117.25,33.39,22,2699,543,1425,491,2.375,137300,"<1H OCEAN"
"64",-117.09,32.76,10,1922,577,1595,545,1.5208,118800,"NEAR OCEAN"
"65",-121.3,37.97,52,2980,537,1128,510,4.061,113600,"INLAND"
"66",-117.89,34.07,35,834,137,392,123,4.5179,218800,"<1H OCEAN"
"67",-122.03,37.3,22,3583,758,1792,695,5.4842,335300,"<1H OCEAN"
"68",-121.58,39.14,52,662,160,520,149,0.8928,55000,"INLAND"
"69",-118.07,33.88,18,2436,375,1303,386,NA,344700,NA
"70",-116.95,32.77,25,3308,421,1201,414,NA,303400,"<1H OCEAN"
"71",-119.56,37.29,14,2391,451,798,308,3.0924,114600,"INLAND"
"72",-119.8,36.75,46,2625,593,1368,551,1.5273,59000,"INLAND"
"73",-122.14,37.43,52,1327,190,467,189,NA,500001,"NEAR BAY"
"74",-121.44,38.54,44,2570,509,1145,503,2.5694,92400,"INLAND"
"75",-118.45,34.28,36,2602,638,2780,620,2.7155,149800,"<1H OCEAN"
"76",-122.04,37.66,10,2031,357,867,352,5.3169,299200,"NEAR BAY"
"77",-122.42,37.73,50,3426,769,2261,671,2.888,246400,"NEAR BAY"
"78",-122.49,38.3,14,2844,602,1613,544,3.3571,193600,"<1H OCEAN"
"79",-122.41,37.66,32,1385,356,1096,353,4.475,246700,"NEAR OCEAN"
"80",-118.28,33.94,43,1201,292,840,252,2.7917,105600,"<1H OCEAN"
"81",-122.24,37.82,52,3665,517,1470,520,6.155,398600,"NEAR BAY"
"82",-121.32,38.57,25,692,146,504,167,3.6897,101100,"INLAND"
"83",-118.87,34.23,14,4242,746,1858,689,6.0145,287100,NA
"84",-118.02,34.15,44,2267,426,980,372,3.6,307400,NA
"85",-123.73,40.48,25,2015,524,746,251,1.7153,77100,"INLAND"
"86",-121.94,37.33,36,1893,359,797,360,3.6818,257600,"<1H OCEAN"
"87",-122.21,37.76,52,1420,314,1085,300,1.7546,80600,"NEAR BAY"
"88",-122.42,37.77,52,4226,1315,2619,1242,2.5755,325000,"NEAR BAY"
"89",-118.18,33.82,43,284,65,167,68,4.25,207500,"NEAR OCEAN"
"90",-121.74,38.55,34,2299,579,1300,536,1.6435,148500,"INLAND"
"91",-122.31,40.65,11,3664,647,1686,613,2.9338,141600,"INLAND"
"92",-117.71,33.51,12,4676,698,1543,598,NA,500001,"<1H OCEAN"
"93",-118.11,33.93,35,2670,493,1196,488,3.8427,283500,NA
"94",-121.39,38.85,19,3568,646,NA,590,4.0862,162700,"INLAND"
"95",-121.81,37.3,15,1929,345,1683,347,5.5248,235600,NA
"96",-121.82,37.42,13,3752,572,1581,526,6.1091,329400,"<1H OCEAN"
"97",-117.78,33.71,16,2207,291,1081,308,NA,331200,"<1H OCEAN"
"98",-119.16,34.17,17,7982,1603,6437,1596,4.1279,223900,"NEAR OCEAN"
"99",-118.01,33.8,16,4021,701,1488,650,5.32,219500,"<1H OCEAN"
"100",-121.99,38.26,18,921,126,368,120,6.0842,261100,"INLAND"
"101",-122.41,37.73,41,2115,378,1168,365,4.0642,272500,"NEAR BAY"
"102",-118.14,34.02,45,1307,283,967,254,2.75,178300,"<1H OCEAN"
"103",-121.84,37.99,13,4545,952,2188,901,3.3625,126100,"INLAND"
"104",-117.96,33.81,35,1153,192,NA,208,5.2384,177400,"<1H OCEAN"
"105",-117.67,35.64,6,2115,342,927,337,NA,115700,"INLAND"
"106",-122.34,37.93,32,2389,652,1672,584,1.4423,88300,"NEAR BAY"
"107",-122.43,37.72,49,3427,696,2363,661,3.6885,254000,"NEAR BAY"
"108",-117.22,34.07,8,3065,692,1440,666,3.2368,129200,"INLAND"
"109",-122.74,38.45,17,3064,588,1704,590,3.9329,170900,"<1H OCEAN"
"110",-118.29,34,6,1487,468,1509,403,1.4639,112500,"<1H OCEAN"
"111",-116.93,32.83,21,1283,278,684,289,2.3203,163500,"<1H OCEAN"
"112",-122.5,37.77,52,2739,569,1312,531,3.5833,322900,"NEAR BAY"
"113",-118.2,33.79,47,767,195,569,195,2.9514,185200,"NEAR OCEAN"
"114",-121.86,37.35,46,1448,330,1094,331,2.4968,174100,"<1H OCEAN"
"115",-118.01,33.7,24,3856,567,1741,588,NA,302700,"<1H OCEAN"
"116",-117.29,33.19,18,6235,1233,NA,1162,3.0704,151600,"NEAR OCEAN"
"117",-118.36,33.99,45,2005,368,909,364,4.6406,268900,"<1H OCEAN"
"118",-117.19,32.77,9,634,152,248,133,3.8571,143800,"NEAR OCEAN"
"119",-121.99,37.56,18,5505,1005,2641,971,5,269700,"<1H OCEAN"
"120",-118.3,33.88,26,1221,312,807,330,4.0536,253600,NA
"121",-122.03,37.95,32,1955,313,804,317,4.9485,202300,"NEAR BAY"
"122",-122.33,40.6,5,6383,1206,2965,1141,3.8103,111100,"INLAND"
"123",-118.3,34.06,47,1390,872,2860,827,1.468,137500,"<1H OCEAN"
"124",-121.48,36.49,28,1006,228,738,193,1.9722,210700,"<1H OCEAN"
"125",-117.83,33.66,4,1011,198,511,198,NA,296200,NA
"126",-117.91,33.62,32,1997,427,944,426,4.4063,500001,"<1H OCEAN"
"127",-122.07,37.63,27,2784,723,2028,693,2.4808,157600,"NEAR BAY"
"128",-116.46,33.78,33,2565,745,2301,638,2.5477,83000,"INLAND"
"129",-118.2,34.08,49,1320,309,1405,328,2.4375,114000,"<1H OCEAN"
"130",-117.21,32.81,33,4773,873,NA,845,4.3862,184800,"NEAR OCEAN"
"131",-122.32,37.54,34,3661,692,1608,656,5.0774,407200,"NEAR OCEAN"
"132",-117.96,34.07,35,2819,529,NA,485,4.6118,191700,"<1H OCEAN"
"133",-117.34,34.1,14,11827,2445,6640,2299,2.4878,103800,"INLAND"
"134",-121.59,36.55,34,737,140,362,138,5.1788,270000,NA
"135",-122.07,37.06,31,1634,370,NA,332,3.8625,232300,"NEAR OCEAN"
"136",-122.15,37.44,52,1400,217,522,227,4.9861,500001,"NEAR BAY"
"137",-118.18,33.9,32,778,227,933,209,2.7292,143800,"<1H OCEAN"
"138",-122.36,37.58,37,3325,734,1468,692,4.0987,434000,NA
"139",-122.22,37.46,37,2586,495,NA,502,4.3214,342700,"NEAR OCEAN"
"140",-118.14,34.69,48,1379,327,696,304,2.1167,94900,"INLAND"
"141",-118.4,34.01,48,1427,253,693,268,5.7405,351600,"<1H OCEAN"
"142",-117.87,34.09,31,1484,327,927,317,3.6484,189600,"<1H OCEAN"
"143",-122.62,38.54,24,2409,464,1006,403,4.5167,265200,"<1H OCEAN"
"144",-122.17,37.75,43,1587,320,907,306,1.9821,98300,"NEAR BAY"
"145",-118.17,33.87,40,2462,587,1821,536,3.5646,162600,"<1H OCEAN"
"146",-122.27,37.78,52,1222,264,630,265,3.7708,215300,"NEAR BAY"
"147",-122.11,37.14,29,3201,640,1722,570,4.4597,204100,"NEAR OCEAN"
"148",-117.9,33.87,28,2315,538,NA,504,2.9861,218600,"<1H OCEAN"
"149",-121.3,37.98,47,2373,461,990,444,4.175,98300,"INLAND"
"150",-118,33.97,30,6540,991,3124,953,6.0663,372600,"<1H OCEAN"
"151",-122.01,37.31,26,1391,241,700,236,NA,332700,"<1H OCEAN"
"152",-117.39,33.69,5,6529,997,3464,1006,5.3275,168700,"<1H OCEAN"
"153",-121.47,38.51,52,20,4,74,9,3.625,80000,"INLAND"
"154",-119.56,36.71,29,1963,392,1208,398,2.5741,73000,"INLAND"
"155",-118.33,33.98,38,3063,796,2153,721,1.8472,149100,"<1H OCEAN"
"156",-117.59,34.16,10,9467,1181,3819,1122,NA,361400,"INLAND"
"157",-122.3,37.89,36,1077,293,518,276,3.0208,206300,"NEAR BAY"
"158",-117.96,33.71,19,4328,849,2243,808,5.5702,342600,"<1H OCEAN"
"159",-118.59,34.11,35,2396,472,1054,457,NA,407000,"<1H OCEAN"
"160",-116.4,33.78,8,3059,500,NA,208,NA,259200,"INLAND"
"161",-120.85,37.78,30,1120,248,609,237,2.2386,87200,"INLAND"
"162",-118.02,34.15,44,2419,437,1045,432,3.875,280800,NA
"163",-117.17,32.78,17,3845,1051,3102,944,2.3658,164100,"NEAR OCEAN"
"164",-119.28,35.52,36,786,194,573,134,2.2321,37500,"INLAND"
"165",-120.1,39.19,17,1480,241,202,80,3.9375,213200,"INLAND"
"166",-121.8,37.31,21,2630,446,1789,389,5.0543,232000,"<1H OCEAN"
"167",-121.23,37.82,14,1847,325,NA,309,4.9271,155300,"INLAND"
"168",-118.2,33.91,36,2283,499,1836,462,2.8793,118100,"<1H OCEAN"
"169",-121.23,38.78,13,3813,871,1513,783,2.0807,142600,"INLAND"
"170",-118.09,33.75,32,6239,974,2615,950,NA,380000,"NEAR OCEAN"
"171",-122.04,37.33,22,4011,963,2206,879,4.5721,351200,"<1H OCEAN"
"172",-119.62,36.58,13,1788,405,1652,411,2.6858,62400,"INLAND"
"173",-120.47,37.29,16,749,222,NA,224,1.2054,60900,"INLAND"
"174",-117.08,32.64,43,1005,230,548,252,1.8672,145800,"NEAR OCEAN"
"175",-122.04,37.62,35,1032,173,NA,176,NA,208500,"NEAR BAY"
"176",-122.48,37.74,52,2285,435,1211,442,4.0208,323100,NA
"177",-122.08,37.38,33,2771,659,1496,581,3.4042,353600,"NEAR BAY"
"178",-122.16,37.47,44,2581,437,1006,414,5.397,341700,"NEAR BAY"
"179",-114.58,33.63,29,1387,236,671,239,3.3438,74000,"INLAND"
"180",-122.25,37.46,33,6841,950,2681,980,NA,443300,"NEAR OCEAN"
"181",-121.65,37.11,14,6006,914,2915,898,5.9356,321700,"<1H OCEAN"
"182",-117.96,33.84,31,2265,537,1617,507,3.4583,186300,"<1H OCEAN"
"183",-122.71,38.4,17,1690,464,833,445,1.439,140600,"<1H OCEAN"
"184",-122.42,37.79,52,2737,1241,1761,1029,1.8068,225000,"NEAR BAY"
"185",-120.49,37.3,50,985,309,NA,250,1.3125,60900,"INLAND"
"186",-121.94,38.36,2,4953,735,1791,562,5.0346,205100,"INLAND"
"187",-120.68,35.14,34,3100,617,1155,542,3.0938,245900,NA
"188",-118.31,34.1,40,4984,2158,4828,2028,1.6903,350000,"<1H OCEAN"
"189",-121.47,38.55,52,1384,295,561,244,2.0242,94600,"INLAND"
"190",-120.45,34.97,25,1920,380,1434,388,3.0368,129300,"<1H OCEAN"
"191",-118.88,34.19,16,7268,1729,3232,1653,3.3703,228700,"<1H OCEAN"
"192",-117.61,34.08,20,3550,736,2229,681,3.0199,128800,"INLAND"
"193",-122.18,37.76,37,1575,358,933,320,2.2917,107000,"NEAR BAY"
"194",-117.98,33.75,37,1264,274,783,273,3.3438,199600,"<1H OCEAN"
"195",-122.08,40.64,14,3099,519,1447,494,4.0132,141200,"INLAND"
"196",-118.13,33.8,36,1026,182,505,176,4.3438,233600,"<1H OCEAN"
"197",-122,36.97,39,2702,646,1136,491,2.8941,256700,"NEAR OCEAN"
"198",-118.1,33.95,34,3635,781,2171,720,3.7308,196900,"<1H OCEAN"
"199",-117.94,33.82,24,4735,955,2600,868,5.0764,228600,NA
"200",-118.46,34.04,25,2142,718,1390,699,3.0069,325000,"<1H OCEAN"
"201",-118.96,35.38,41,2417,435,973,406,3.0568,85600,"INLAND"
"202",-117.99,33.93,33,2299,431,1049,447,3.6458,208100,"<1H OCEAN"
"203",-117.9,33.98,20,9893,2283,7228,2159,3.253,186700,"<1H OCEAN"
"204",-118.22,34.14,52,2298,406,1203,387,5.5291,274600,"<1H OCEAN"
"205",-122.28,37.89,52,2616,473,NA,487,4.125,270900,"NEAR BAY"
"206",-118.19,33.87,42,1213,269,NA,229,3.6987,152100,"<1H OCEAN"
"207",-121.45,38.5,25,3033,665,1559,627,2.7101,99500,"INLAND"
"208",-118.21,34.07,47,1346,383,1452,371,1.7292,191700,"<1H OCEAN"
"209",-119.31,35.99,26,1460,316,880,286,1.3676,47800,"INLAND"
"210",-118.26,33.97,46,1086,249,880,250,1.5962,95700,"<1H OCEAN"
"211",-118.18,36.63,23,2311,487,1019,384,2.2574,104700,"INLAND"
"212",-118.17,33.77,12,4409,1401,3068,1262,2.2808,154700,"NEAR OCEAN"
"213",-122.14,37.36,23,11294,1377,3840,1367,NA,500001,NA
"214",-116.22,33.74,26,4120,858,2918,815,3.3107,69400,"INLAND"
"215",-117.73,33.57,5,11976,2495,NA,2009,4.8488,194400,"<1H OCEAN"
"216",-117.62,33.64,2,7826,893,2985,790,NA,484100,"<1H OCEAN"
"217",-118.47,34,42,1271,301,574,312,3.1304,340500,"<1H OCEAN"
"218",-119.21,34.26,10,3150,781,1582,653,4.2448,157300,"NEAR OCEAN"
"219",-120.63,37.41,27,2083,444,1462,479,2.6439,69100,"INLAND"
"220",-117.64,34.15,16,2896,404,1165,379,NA,392900,"INLAND"
"221",-121.34,38.03,20,4213,751,NA,714,4.4063,130800,"INLAND"
"222",-117.05,32.8,23,3309,401,NA,386,NA,330600,"<1H OCEAN"
"223",-118,33.88,18,2628,720,2276,649,2.735,170800,"<1H OCEAN"
"224",-121.9,37.35,42,2082,626,1396,610,3.25,185300,"<1H OCEAN"
"225",-122.27,37.53,43,1145,230,586,254,3.5,267400,"NEAR OCEAN"
"226",-118.27,34,48,1869,461,NA,441,1.7052,107400,"<1H OCEAN"
"227",-122.47,37.76,48,2064,484,1055,467,2.8711,329600,"NEAR BAY"
"228",-122.37,37.58,43,2506,432,967,428,4.7404,500001,"NEAR OCEAN"
"229",-122.23,37.79,52,1783,395,1659,412,2.9357,107900,"NEAR BAY"
"230",-122.2,37.78,45,1766,332,NA,327,4.5893,163500,"NEAR BAY"
"231",-121.28,37.94,48,1766,444,1406,421,1.7039,52700,"INLAND"
"232",-117.88,33.7,16,1505,358,835,339,3.8029,205400,"<1H OCEAN"
"233",-114.61,34.83,31,2478,464,1346,479,3.212,70400,"INLAND"
"234",-118.33,34.1,48,1116,524,1610,483,1.625,237500,"<1H OCEAN"
"235",-122.08,37.9,29,4133,770,1691,744,5.1097,288000,NA
"236",-118.46,34.18,35,1819,465,NA,419,3.4583,253200,NA
"237",-120.49,37.29,17,2414,594,2487,582,1.0955,62700,"INLAND"
"238",-117.88,33.85,34,1127,185,588,181,4.375,224700,"<1H OCEAN"
"239",-121.81,37.23,17,2319,324,1076,338,NA,278300,"<1H OCEAN"
"240",-122.19,37.79,45,2718,451,1106,454,4.6563,231800,"NEAR BAY"
"241",-118.4,34.08,52,3815,439,1266,413,NA,500001,NA
"242",-117.53,34.28,35,1529,338,688,256,4.1083,108000,"INLAND"
"243",-117.52,33.82,14,3776,580,1877,559,5.1365,215000,"INLAND"
"244",-122.22,38.11,43,1939,353,NA,392,3.1848,112700,"NEAR BAY"
"245",-117.9,34.11,23,4776,1316,4797,1187,2.1667,142600,"<1H OCEAN"
"246",-118.21,33.95,35,2134,650,2248,587,2.2988,153400,"<1H OCEAN"
"247",-121.89,37.68,22,1898,239,734,245,NA,334100,"<1H OCEAN"
"248",-117.36,33.18,26,5550,1153,2372,1058,2.5509,181800,"NEAR OCEAN"
"249",-122.49,37.86,52,2175,510,809,503,4.5398,442000,"NEAR BAY"
"250",-118.34,34.01,38,2318,735,1407,702,1.6187,266700,"<1H OCEAN"
"251",-119.61,36.59,10,2842,620,NA,576,2.2727,92700,"INLAND"
"252",-118.39,34.2,17,2594,1028,3950,973,2.0348,177200,"<1H OCEAN"
"253",-121.06,39.23,10,2229,537,982,512,2.186,132700,"INLAND"
"254",-117.93,33.65,29,1253,375,1198,362,3.5179,225000,"<1H OCEAN"
"255",-118.19,33.89,32,1696,438,1639,376,2.0357,107300,"<1H OCEAN"
"256",-118.28,33.96,42,1604,399,1581,387,1.7656,96700,"<1H OCEAN"
"257",-122,36.98,20,2502,454,981,399,4.3,275000,"NEAR OCEAN"
"258",-120.56,35.13,15,5818,924,2324,845,4.4033,267600,"<1H OCEAN"
"259",-121.87,37.22,17,2825,365,1052,345,NA,485000,"<1H OCEAN"
"260",-118.14,33.84,44,3043,619,1316,607,4.4286,254900,"<1H OCEAN"
"261",-118.25,34.09,52,104,20,32,17,3.75,241700,"<1H OCEAN"
"262",-122.21,37.43,33,1606,254,727,271,NA,500001,"NEAR OCEAN"
"263",-119.26,34.27,42,918,204,NA,204,4.0069,214300,"NEAR OCEAN"
"264",-122.53,37.65,20,4582,1124,2325,1040,4.0556,275000,"NEAR OCEAN"
"265",-122.5,37.96,16,100,20,45,25,6.1359,212500,"NEAR BAY"
"266",-117.04,32.98,16,1332,196,640,193,6.0226,192900,"<1H OCEAN"
"267",-122.47,37.72,46,1836,319,767,302,5.9114,399000,"NEAR OCEAN"
"268",-118.57,34.22,17,3262,753,1879,708,4.1359,255200,"<1H OCEAN"
"269",-118.44,34.23,43,2257,429,1418,442,4.5278,181800,"<1H OCEAN"
"270",-121.44,38.71,25,2336,406,1172,408,3.5129,101200,"INLAND"
"271",-122.13,37.43,32,4398,878,1799,792,4.7375,431900,"NEAR BAY"
"272",-118.29,34.11,48,1448,295,681,287,3.2333,436400,NA
"273",-117.94,33.87,46,2066,450,1275,448,3.9375,187000,"<1H OCEAN"
"274",-118.13,34.21,36,1449,235,621,210,NA,274100,"INLAND"
"275",-118.84,34.16,18,6075,1056,2571,1018,5.22,399400,"<1H OCEAN"
"276",-118.19,33.78,21,2741,1029,2924,969,1.3274,218800,"NEAR OCEAN"
"277",-118.57,34.17,35,2072,318,908,342,6.0928,327300,"<1H OCEAN"
"278",-118.16,34.09,33,1515,415,1345,346,2.375,175000,"<1H OCEAN"
"279",-118.33,33.72,25,6191,1081,2297,1023,NA,446700,"NEAR OCEAN"
"280",-117.13,34.88,21,3254,669,1548,545,2.3373,57100,"INLAND"
"281",-122.77,38.29,32,3201,542,1869,519,3.2442,268000,NA
"282",-124.14,40.59,22,1665,405,826,382,1.5625,66800,"NEAR OCEAN"
"283",-124.16,41.92,19,1668,324,NA,283,2.1336,75000,"NEAR OCEAN"
"284",-122.44,37.75,21,5457,1247,2304,1180,4.5469,409700,"NEAR BAY"
"285",-117.13,32.8,33,2731,456,1263,445,4.5568,175300,"NEAR OCEAN"
"286",-118.2,34.21,40,1477,228,NA,224,NA,500001,"<1H OCEAN"
"287",-120.54,38.75,9,3006,540,1102,418,3.9812,136600,"INLAND"
"288",-122.12,37.7,41,3495,787,1849,750,2.679,144900,"NEAR BAY"
"289",-119.8,36.75,41,1659,466,1391,447,1.3527,61200,"INLAND"
"290",-117.38,33.96,30,3153,623,1544,575,3.4491,133800,"INLAND"
"291",-118.36,34.05,47,1424,300,632,278,4.0625,295200,"<1H OCEAN"
"292",-122.42,40.63,23,2248,489,1132,444,1.6429,80400,"INLAND"
"293",-118.88,34.22,16,2343,393,NA,383,5.756,302700,"<1H OCEAN"
"294",-121.87,39.75,22,1707,296,822,297,3.6625,126600,"INLAND"
"295",-117.23,33.16,2,4624,946,NA,808,3.6736,214500,"NEAR OCEAN"
"296",-121.98,37.28,27,3526,589,1725,553,5.7812,275000,"<1H OCEAN"
"297",-122.43,37.77,52,1760,366,742,318,4.445,400000,"NEAR BAY"
"298",-121.41,38.55,14,2534,705,1495,583,1.9167,156300,"INLAND"
"299",-121.7,37.98,9,3079,519,NA,512,5.1041,172900,"INLAND"
"300",-122.35,37.95,31,2449,595,1801,548,2.6328,110300,"NEAR BAY"
"301",-117.19,33.64,12,1481,265,757,243,3.235,210700,"<1H OCEAN"
"302",-121.44,38.43,3,39320,6210,16305,5358,4.9516,153700,"INLAND"
"303",-121.49,38.49,26,1557,301,986,300,2.6613,77700,"INLAND"
"304",-118.05,34.05,36,1084,202,920,199,3.7279,162200,"<1H OCEAN"
"305",-117.27,34.12,31,2209,636,1314,562,1.7235,78800,"INLAND"
"306",-117.98,33.78,22,4255,971,2901,920,3.2636,180200,"<1H OCEAN"
"307",-117.36,34.08,4,8866,1832,4775,1554,3.7348,125800,"INLAND"
"308",-117.25,32.8,32,1601,468,731,429,2.5568,258300,"NEAR OCEAN"
"309",-117.37,33.19,33,2205,453,1138,439,2.8819,208600,"NEAR OCEAN"
"310",-117.19,34.03,25,2513,340,900,320,NA,182400,"INLAND"
"311",-121.97,36.98,17,2813,497,1337,477,3.7083,252400,"NEAR OCEAN"
"312",-121.37,38.64,36,322,48,133,59,4.6111,139300,"INLAND"
"313",-116.77,32.82,16,3688,817,1969,767,2.875,222900,"<1H OCEAN"
"314",-122.24,37.47,41,1183,203,455,171,5.1071,314100,"NEAR OCEAN"
"315",-118.43,34.22,34,2300,429,1447,455,4.2656,233700,"<1H OCEAN"
"316",-118.15,33.84,36,2987,491,1360,497,4.8013,224100,"<1H OCEAN"
"317",-118.06,34.09,36,1239,238,717,237,3.244,258100,"<1H OCEAN"
"318",-123.83,41.88,18,1504,357,660,258,3.13,116700,"<1H OCEAN"
"319",-118.11,34.01,43,1539,386,1122,377,2.4605,196000,"<1H OCEAN"
"320",-118.14,34.16,30,2598,757,2869,769,2.1377,142300,"<1H OCEAN"
"321",-118.29,33.84,23,3626,799,2321,731,4.7393,237900,"<1H OCEAN"
"322",-116.17,33.53,13,1713,512,1978,442,2.1287,58600,"INLAND"
"323",-121.81,37.33,4,5532,778,NA,770,NA,343000,"<1H OCEAN"
"324",-120.95,35.44,30,6346,1410,1769,887,2.6864,283600,"NEAR OCEAN"
"325",-122.37,37.59,52,2272,403,963,376,5.7245,500000,"NEAR OCEAN"
"326",-117.28,34.12,47,2456,611,1653,512,1.3973,66100,"INLAND"
"327",-122.14,37.84,24,2131,343,874,373,5.6349,355600,"NEAR BAY"
"328",-117.4,33.95,46,2189,423,866,389,3.1384,111500,"INLAND"
"329",-122.23,37.78,52,472,146,NA,126,2.6429,71300,"NEAR BAY"
"330",-117.04,32.67,14,3464,683,NA,734,4.0668,137500,"NEAR OCEAN"
"331",-121.77,37.68,44,495,112,277,109,2.6667,179200,"INLAND"
"332",-118.53,34.27,33,1927,305,896,293,5.634,320500,"<1H OCEAN"
"333",-122.28,37.9,49,3191,516,1148,507,NA,333700,"NEAR BAY"
"334",-122.53,37.96,35,908,194,413,197,3.9917,290800,NA
"335",-121.97,38.04,38,2505,554,1595,498,2.5833,83500,"INLAND"
"336",-122.19,37.75,19,2207,565,1481,520,1.3194,81400,"NEAR BAY"
"337",-118.25,33.89,41,1476,286,1086,278,2.4632,111700,"<1H OCEAN"
"338",-120.01,38.91,27,968,191,283,143,2.0938,94400,"INLAND"
"339",-122.42,37.63,46,66,11,30,12,2.375,275000,"NEAR OCEAN"
"340",-119.76,36.73,46,1347,282,854,267,1.8723,52600,"INLAND"
"341",-118.57,34.2,36,2559,469,1358,445,4.5568,201500,"<1H OCEAN"
